date,code,name,open,close,high,low,volume,turnover,log_return,is_extreme,idx_close,idx_log_return,cpi_yoy,industry
2024-06-26,600048,保利发展,229.38,227.9,229.63,224.94,70976545.0,653825059.0,-0.015024779101370027,False,3480.265,0.00644639353391063,,房地产
2024-06-27,600048,保利发展,228.15,221.24,229.87,220.99,96669533.0,879896686.0,-0.029658851125161256,False,3454.118,-0.007541297882574628,,房地产
2024-06-28,600048,保利发展,220.5,216.06,223.46,214.58,133076302.0,1181005814.0,-0.023691938237638478,False,3461.657,0.002180233737024504,,房地产
2024-07-01,600048,保利发展,217.54,229.63,234.07,216.55,198704883.0,1839742160.0,0.06091317104194007,False,3478.183,0.004762654827228198,,房地产
2024-07-02,600048,保利发展,229.38,222.72,233.57,221.49,124240541.0,1146322250.0,-0.030553940784724124,False,3471.786,-0.0018408720402977288,,房地产
2024-07-03,600048,保利发展,222.97,224.94,229.13,216.8,126050395.0,1145107668.0,0.009918322829820877,False,3463.414,-0.0024143511554857245,,房地产
2024-07-04,600048,保利发展,223.95,218.28,225.19,217.54,93580847.0,837476132.0,-0.0300550576578444,False,3445.813,-0.005094936980487585,,房地产
2024-07-05,600048,保利发展,219.02,217.05,222.47,215.07,84808854.0,750539528.0,-0.005650900572428606,False,3431.061,-0.004290328026433688,,房地产
2024-07-08,600048,保利发展,216.31,210.88,216.55,209.15,106650850.0,914962342.0,-0.02883849043146019,False,3401.76,-0.008576598043504765,,房地产
2024-07-09,600048,保利发展,211.13,211.13,212.85,206.69,99854042.0,849792364.0,0.0011848061858493386,False,3439.811,0.011123583267563953,,房地产
2024-07-10,600048,保利发展,208.41,210.14,213.35,203.97,74183402.0,631114960.0,-0.004700082239362425,False,3428.966,-0.003157770011095822,,房地产
2024-07-11,600048,保利发展,212.61,214.33,216.8,210.14,95413884.0,827043903.0,0.019742908088411934,False,3468.169,0.01136803098378811,,房地产
2024-07-12,600048,保利发展,220.75,222.47,228.64,218.28,176903894.0,1605215541.0,0.03727537770600103,False,3472.401,0.0012194965325544864,,房地产
2024-07-15,600048,保利发展,218.53,221.98,225.68,217.54,94554230.0,849239164.0,-0.00220497333120885,False,3476.247,0.001106978046014261,,房地产
2024-07-16,600048,保利发展,221.49,224.45,228.15,218.77,97281176.0,885309169.0,0.01106567750410776,False,3498.283,0.00631901313052125,,房地产
2024-07-17,600048,保利发展,224.94,230.61,234.07,223.95,136243883.0,1277473511.0,0.027075006801209254,False,3501.584,0.0009431608471134147,,房地产
2024-07-18,600048,保利发展,229.63,233.82,234.8,226.42,115643347.0,1083802166.0,0.013823616549522546,False,3520.931,0.005510005731037632,,房地产
2024-07-19,600048,保利发展,231.11,226.67,232.34,223.95,121299834.0,1113361450.0,-0.031056373302407694,False,3539.016,0.0051232791288347,,房地产
2024-07-22,600048,保利发展,226.91,225.43,227.16,220.75,85710809.0,778733464.0,-0.0054855258102237655,False,3514.925,-0.006830534495862523,,房地产
2024-07-23,600048,保利发展,225.93,222.23,227.9,221.73,71549390.0,652790916.0,-0.014296807872664179,False,3439.878,-0.021582182268262445,,房地产
2024-07-24,600048,保利发展,222.23,215.32,224.69,214.09,74584725.0,658866546.0,-0.03158758790062076,False,3418.166,-0.0063318557129296155,,房地产
2024-07-25,600048,保利发展,215.32,217.29,221.98,214.33,79538967.0,703380500.0,0.009107573182587932,False,3399.272,-0.005542858878595459,,房地产
2024-07-26,600048,保利发展,217.79,220.01,224.69,217.05,80313172.0,717559330.0,0.012440132989445183,False,3409.293,0.002943647372404176,,房地产
2024-07-29,600048,保利发展,219.76,211.87,220.01,210.88,102817352.0,888733697.0,-0.03770012082859031,False,3390.742,-0.00545616192312457,,房地产
2024-07-30,600048,保利发展,212.29,215.66,217.73,211.0,92874949.0,769353658.0,0.017730214417727087,False,3369.382,-0.006319431739607149,,房地产
2024-07-31,600048,保利发展,216.18,228.34,228.86,211.51,133453117.0,1145603821.0,0.05713265279425485,False,3442.084,0.021347757149328773,,房地产
2024-08-01,600048,保利发展,227.31,219.02,229.38,218.25,125515963.0,1074501832.0,-0.041672696400567956,False,3419.267,-0.006650901289886052,,房地产
2024-08-02,600048,保利发展,216.18,214.62,217.99,213.85,97749193.0,813851088.0,-0.020294027348631744,False,3384.392,-0.010251926339087308,,房地产
2024-08-05,600048,保利发展,211.51,213.85,222.13,211.0,130110300.0,1092174586.0,-0.003594187826063821,False,3343.321,-0.012209649912898612,,房地产
2024-08-06,600048,保利发展,215.66,222.13,223.94,214.88,126006744.0,1069015006.0,0.03798796139661346,False,3342.979,-0.00010229873032864797,,房地产
2024-08-07,600048,保利发展,220.84,219.28,221.35,216.69,65836443.0,556271611.0,-0.012913344075000778,False,3341.489,-0.0004458096065917208,,房地产
2024-08-08,600048,保利发展,220.58,219.54,228.34,215.92,125731602.0,1075930517.0,0.0011849962646401431,False,3342.937,0.00043324588308688944,,房地产
2024-08-09,600048,保利发展,217.99,221.35,229.38,217.73,179518000.0,1561950554.0,0.008210710918979638,False,3331.627,-0.0033889886514955523,,房地产
2024-08-12,600048,保利发展,219.8,213.85,220.58,213.07,113705586.0,946782090.0,-0.0344703245052324,False,3325.865,-0.0017309826098848295,,房地产
2024-08-13,600048,保利发展,213.59,213.07,214.1,210.74,61758939.0,505916707.0,-0.0036540844556425707,False,3334.39,0.002559963441535963,,房地产
