date,open,high,low,close,volume,turnover
2022-09-05,463.82,473.85,460.81,470.19,9110009.0,4237267563.0
2022-09-06,469.83,470.19,445.62,456.98,27524567.0,12407748956.0
2022-09-07,453.26,478.36,451.76,475.78,21677712.0,10095265237.0
2022-09-08,470.18,472.84,450.26,451.26,21552631.0,9838886097.0
2022-09-09,454.37,456.21,448.25,453.99,12246752.0,5523516959.0
2022-09-13,460.8,462.0,448.6,458.7,10202890.0,4632953568.0
2022-09-14,451.76,454.77,429.96,436.0,25893786.0,11348915618.0
2022-09-15,436.0,436.7,412.81,415.97,25383594.0,10651219570.0
2022-09-16,415.92,419.94,410.6,411.6,14963208.0,6192462420.0
2022-09-19,411.23,423.25,410.64,415.29,13964359.0,5802232518.0
2022-09-20,419.64,431.68,416.62,422.66,16569030.0,7024157607.0
2022-09-21,418.63,425.12,414.99,421.95,8809861.0,3695152639.0
2022-09-22,416.93,421.64,407.59,416.61,9642094.0,3992662501.0
2022-09-23,417.59,426.46,411.66,418.97,12018488.0,5009444373.0
2022-09-26,414.66,436.7,414.66,430.34,18835151.0,8081168715.0
2022-09-27,435.59,437.03,424.67,431.18,11561928.0,4948766643.0
2022-09-28,429.32,431.16,415.04,419.06,10697441.0,4464647186.0
2022-09-29,426.53,427.82,417.34,421.28,8894778.0,3723447021.0
2022-09-30,421.56,422.49,402.68,403.07,11814011.0,4808089720.0
2022-10-10,404.19,406.7,393.36,395.0,11465353.0,4534844088.0
2022-10-11,406.2,418.57,405.08,418.57,18444138.0,7582938838.0
2022-10-12,418.26,440.67,415.74,440.21,18514747.0,7894831670.0
2022-10-13,436.36,440.67,431.34,434.35,10443411.0,4521426256.0
2022-10-14,440.38,444.75,430.91,439.29,13565344.0,5900627938.0
2022-10-17,435.36,435.36,423.04,431.69,10537258.0,4492096855.0
2022-10-18,435.39,441.27,430.77,431.88,9101920.0,3937490987.0
2022-10-19,432.36,444.41,432.02,433.69,12333044.0,5381599274.0
2022-10-20,422.57,425.98,406.2,417.26,17120183.0,7066412983.0
2022-10-21,410.22,419.23,409.42,415.25,8259882.0,3412503681.0
2022-10-24,408.83,416.25,401.18,406.22,14532727.0,5885833136.0
2022-10-25,405.19,410.29,394.11,403.89,14039050.0,5599142147.0
2022-10-26,407.2,410.78,400.25,403.24,14072386.0,5666134369.0
2022-10-27,400.17,404.26,392.12,392.42,15281736.0,6026009209.0
2022-10-28,387.4,389.61,366.99,367.49,24071225.0,8960919233.0
2022-10-31,361.96,382.29,358.52,374.91,16554600.0,6168694637.0
2022-11-01,378.55,391.0,370.12,388.3,19916486.0,7598072350.0
2022-11-02,387.1,398.55,382.08,393.63,14266969.0,5554821785.0
2022-11-03,392.12,396.14,383.1,386.21,14717451.0,5672637394.0
2022-11-04,387.9,410.53,386.09,406.6,20971141.0,8386135001.0
2022-11-07,410.22,416.8,407.2,412.73,14778112.0,6063354150.0
2022-11-08,412.73,425.1,405.7,412.03,12080878.0,4982583901.0
2022-11-09,408.21,409.8,397.15,399.22,10941091.0,4370881067.0
2022-11-10,395.14,396.14,386.09,387.4,12924178.0,4995761138.0
2022-11-11,403.18,407.9,396.37,404.67,19481969.0,7814365729.0
2022-11-14,406.3,410.22,387.65,389.29,18481701.0,7242184172.0
2022-11-15,390.27,399.64,380.06,398.34,17273987.0,6711717380.0
2022-11-16,395.15,396.33,385.37,386.16,13603663.0,5261351647.0
2022-11-17,383.7,384.07,372.02,377.16,14217164.0,5314975792.0
2022-11-18,380.06,389.11,373.02,382.86,16407334.0,6269734686.0
2022-11-21,377.16,387.95,376.34,384.48,8038709.0,3060476256.0
2022-11-22,382.07,384.95,375.03,377.04,9836241.0,3701483129.0
2022-11-23,377.04,384.97,375.53,381.59,8829427.0,3343581161.0
2022-11-24,385.21,385.31,377.05,378.67,8546530.0,3229088100.0
2022-11-25,375.09,377.04,373.02,374.23,6138945.0,2286870203.0
2022-11-28,366.99,374.34,361.98,372.33,11114051.0,4052491292.0
2022-11-29,374.03,383.48,369.5,379.96,11717222.0,4394005282.0
2022-11-30,381.06,387.1,374.2,387.1,14041956.0,5331830946.0
2022-12-01,399.31,404.34,397.07,397.4,20937498.0,8341109691.0
2022-12-02,399.16,401.46,393.93,394.01,8292566.0,3280784282.0
2022-12-05,394.01,399.03,390.11,394.45,12098474.0,4739442184.0
2022-12-06,391.24,406.24,391.12,402.2,13661164.0,5426417623.0
